keys,en,ru,ua
hint_portal_gossip,I can spend hours talking about portals.,Я могу часами говорить о порталах.,Я можу годинами розмовляти про портали.
hint_portal_buy,Teleport to a far away island and hunt for ingredients!,Телепортируйтесь на далекие острова и начинайте охоту за ингредиентами.,Телепортуйтесь на далекі острови та починайте полювання за інгредієнтами.
hint_portal_upgrade,"I could offer some perks, for a fee.","Я могу предложить некоторые привилегии, за отдельную плату.","Я можу надати деякі привілеї, за окрему плату."
hint_portal_back,"Good idea, make sure you've taken care of all business in town.","Хорошая мысль, убедитесь что вы уладили все дела в городе.","Гарна думка, переконайтесь що ви залагодили всі справи в місті."
hint_portal_buy_1,"Small islands, little natives and scrappy loot.","Малые острова, мало аборигенов и небогатая добыча.","Малі острови, небагато аборигенів та здобиччі."
hint_portal_buy_2,"Further, bigger islands with somewhat better rewards.","Дальние острова, побольше в размерах и добыча получше.","Далекі острови, більші у розмірах і здобич краще."
hint_portal_buy_3,Very populated medium-sized islands. Fierce natives protect its greatest flavor treasures.,Густо населенные острова среднего размера. Грозные аборигены охраняют богатейшие вкусовые сокровища.,Густо населені острови середнього розміру. Люті аборигени охороняють найбагатші смакові скарби.
hint_portal_buy_4,"Big islands, rich both in loot and challenge.","Большие острова, богатые добычей и испытаниями.","Великі острови, багаті на здобич і випробування."
hint_my_report,"Cashflow, important dates, and posessions report.","Денежный поток, важные даты и отчет об имуществе.","Звіт про рух грошових коштів, важливі дати та майно."
hint_my_storage,"This is where I store my ingredients, bagels and anything I might use in an adventure.","Здесь я храню свои ингредиенты, бублики и все, что мне может пригодиться в приключениях.","Тут я зберігаю мої інгредієнти, бубліки та все, що я можу використати в пригоді."
hint_my_quests,"Sometimes patrons will leave special orders, this is where I can manage those.","Иногда посетители оставляют специальные заказы, здесь я могу ими управлять.","Іноді відвідувачі залишають спеціальні замовлення, тут я можу ними керувати."
hint_my_kitchen,Here I can cook bagels from gathered ingredients.,Тут можно приготовить бублики из собранных ингредиентов.,Тут можна приготувати бубліки із зібраних інгредієнтів.
hint_my_packing_table,Pack unneeded ingredients into rations.,Ненужные ингридиенты можно упаковать в пайки.,Непотрібні інгредієнти можна запакувати у пайки.
hint_my_back,Back to town.,Назад в город.,Назад в місто.
hint_my_counter,I should place my bagels on the counter if I want anyone to buy them.,"Мне нужно выставить бублики на витрину, если я хочу чтобы их купили.","Мені треба виставити бубліки на вітрину, якщо я хочу щоб їх купили."
hint_market_gossip,Care to tell about your adventures?,Расскажете о своих похождениях?,Розкажете про свої пригоди?
hint_market_ingredients,Peruse today's fine selection of the freshest ingredients.,Ознакомьтесь с сегодняшним прекрасным выбором самых свежих ингредиентов.,Перегляньте сьогоднішню чудову добірку найсвіжіших інгредієнтів.
hint_market_supplies,"Planning a trip? Pop in, and see if you might need any of these.","Планируете поездку? Загляните и посмотрите, может вам понадобится что-то из этого.","Плануєте подорож? Загляньте і подивіться, чи може вам знадобиться щось із цього."
hint_market_sell,Sell your unneeded items.,Продайте свои ненужные вещи.,Продайте свої зайві речі.
hint_counter_sell,Spend a day selling bagels.,"Провести день за прилавком, продавая бублики.","Провести день за прилавком, продаючи бубліки."
hint_portal_embark,Embark on an adventure.,Отправиться в приключение.,Вирушити у пригоду.
hint_portal_embark_empty,Embark without any supplies.,Отправиться в приключение без припасов.,Вирушити у пригоду без запасів.
hint_embark_storage_full,Your storage is full! Dispose of unneeded items before embarking.,Ваше хранилище переполнено! Избавьтесь от ненужных вещей прежде чем продолжать.,Ваше сховище переповнене! Позбавтеся непотрібних речей перш ніж продовжувати.
hint_embark_money_full,Your money safe is full! All extra money will be lost!,Ваш сейф переполнен! Вы потеряете все непоместившиеся деньги!,"Ваш сейф переповнений! Ви втратите всі гроші, що не помістилися!"
hint_cook,Cook a %s,Приготовить %s,Приготувати %s
hint_sold_product,Sold a %s for %d,%s продан за %d,%s проданий за %d
hint_carpenter_sell,I'll buy back some of your shop's furniture if you're short on cash.,"Я выкуплю свою продукцию обратно, если у вас проблемы с деньгами.","Я викуплю свою продукцію, якщо у вас проблеми з грошима."
hint_carpenter_upgrade,I sell the best custom made shop furniture!,Я продаю лучшую мебель и инвентарь для магазинов.,Я продаю найкращі меблі та інвентар для магазинів.
hint_barracks_upgrade,Spend some time with our trainers. They'll surely teach you how to be more effective in the field.,Проведите немного времени с нашими тренерами. Они однозначно научат вас как быть эффективнее в поле.,Проведіть трохи часу із нашими тренерами. Вони однозначно навчать вас як бути ефективнішою у полі.
hint_carpenter_gossip,Let me tell you about my wares.,Позвольте рассказать вам о моих товарах.,Дозвольте розповісти вам про мої товари.
hint_barracks_gossip,"Our training services cost money, but the advice is free.","Тренировки с нами стоят денег, но советы бесплатны.","Тренування з нами коштують грошей, але поради безкоштовні."